nconst	primary_name	birth_year	death_year	primary_profession	known_for_titles
nm0005068	Vinnie Jones	1965	NULL	actor,soundtrack,producer	tt0120735,tt0208092,tt0376994,tt0805570
nm8087469	Lina Lecompte	NULL	NULL	actress	tt2397255,tt10198564,tt6394324,tt1447981
nm1029283	Glenn Ennis	NULL	NULL	stunts,actor,writer	tt0343818,tt0329101,tt0409459,tt1431045
nm0873021	Lori Triolo	NULL	NULL	actress,miscellaneous,producer	tt0407362,tt0279600,tt0460681,tt0389564
nm1595718	James Clayton	NULL	NULL	actor,producer,miscellaneous	tt4450826,tt8712750,tt5009286,tt10198564
nm3112415	Cooper Bibaud	NULL	NULL	editor,actor,writer	tt1950252,tt3477188,tt5482362,tt10198564
nm3323483	Danny Mac	NULL	NULL	actor,writer,director	tt4766018,tt5351442,tt5482362,tt2188671
nm5366840	Jonnie Broi	NULL	NULL	producer,camera_department,director	tt2463208,tt1980003,tt4513678,tt10155932
nm2386619	Paul Engstrom	NULL	NULL	camera_department,editorial_department,producer	tt10198564,tt1686469,tt8781414,tt3067166
nm10489554	Floripes Pereira	1925	NULL		tt10207588
nm6997123	Márcio D'Astrain	1993	NULL	director,writer,producer	tt10207588,tt14102784,tt13489806,tt13026894
nm11929473	Cecilia Alvarado	NULL	NULL		tt10235118
nm9253225	Rodrigo Occelli	NULL	NULL	writer,director,producer	tt10235118,tt7336008,tt17007682,tt17509606
nm10644661	Camilo Cuevas	NULL	NULL	producer	NULL
nm9253226	Alejandro Montes	NULL	NULL	producer,director,writer	tt10235118,tt7336008
nm9250691	Esperanza de Velasco	NULL	NULL	music_department,composer,producer	tt14075260,tt10235118,tt10622124,tt12608802
nm10644664	Adrián Araujo	NULL	NULL	cinematographer	NULL
nm10468990	Alejandro Flores Escobedo	NULL	NULL	editor,editorial_department	tt18571688,tt10235118,tt7336008,tt9765902
nm1793908	Rafael Rivera Goyenechea	1971	NULL	editorial_department,sound_department,editor	tt1110207,tt9765902,tt7811886,tt0380538
nm10722553	Thera Kho	NULL	NULL	actress	tt10394776
nm10722550	Julie Sle	NULL	NULL		tt10394776
nm10722552	Theri Dra	NULL	NULL	actress	tt10394776
nm10722551	Leba Dddi	NULL	NULL	actor	tt10394776
nm10722549	Jude Nas	NULL	NULL		tt10394776
nm3597243	Salil Mitra	NULL	2019	actor	tt2320258,tt4240260,tt1459974,tt4145834
nm10780256	Babushan Mohanty	NULL	NULL	actor	tt14642508,tt10515408,tt15768408,tt17592606
nm3370288	Bijay Mohanty	1940	2020	actor,director,assistant_director	tt1433316,tt1446108,tt1411713,tt1407139
nm3713533	Jiban Panda	NULL	NULL	actor	tt1966344,tt1857783,tt1435580,tt5024572
nm1896291	Ashok Pati	NULL	NULL	director,writer,actor	tt1431289,tt1966344,tt1431238,tt1437855
nm3433127	Abhijit Majumdar	NULL	NULL	composer,music_department,soundtrack	tt1437870,tt1454136,tt5061682,tt2154621
nm11800494	Tamanna Vyas	NULL	NULL	actress	tt10515408,tt14996298,tt15778136,tt15949602
nm13576691	David Carollo	NULL	NULL	actor	tt10635634
nm0633905	Sidney Noel Rideau	1929	2020	actor	tt10603104,tt0251470,tt10635612,tt3596162
nm0096303	Matt Borel	NULL	NULL	actor,art_department	tt10635634,tt1095217,tt1292594,tt1790886
nm13576684	Vienna Abramowitz	NULL	NULL	actress	tt10635634
nm13576685	Candy Lambert	NULL	NULL	actress	tt10635634
nm13576686	Stacy Skillern	NULL	NULL	actress	tt10635634
nm13576687	Darlene Chehardy	NULL	NULL	actress	tt10635634
nm13576688	Jeffery A. Barach	NULL	NULL	actor	tt10635634
